NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.81,357.12,514.25,393.73,393.73,289.27,174.99,174.99,57.14,219.13,121.52,114.68,62.0,143.25,209.91,192.05,200.88,183.42,200.88,192.05,174.99,77.77,114.68,25.4,2.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.92,35.81,57.14,121.52,209.91,248.0,174.99,278.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.43,NaN,192.05,322.3,458.7,572.98,486.08,345.32,333.71,135.81,101.58,238.18,52.48,248.0,248.0,89.28,183.42,248.0,248.0,238.18,238.18,248.0,192.05,128.56,108.03,32.14,35.81,19.44,0.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.28,35.81,67.06,108.03,192.05,357.12,619.11,445.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.86,NaN,8.04,35.81,238.18,289.27,458.7,445.31,486.08,472.29,486.08,183.42,128.56,209.91,209.91,258.02,192.05,108.03,219.13,268.24,248.0,248.0,258.02,268.24,248.0,228.56,121.52,108.03,114.68,150.88,77.77,3.57,NaN,NaN,NaN,NaN,NaN,2.48,22.32,43.75,83.43,135.81,166.76,311.09,393.73,381.33,2.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.28,150.88,32.14,12.0,32.14,77.77,289.27,322.3,289.27,458.7,528.64,486.08,458.7,192.05,219.13,322.3,357.12,238.18,200.88,228.56,248.0,228.56,219.13,219.13,238.18,248.0,258.02,238.18,238.18,228.56,228.56,150.88,48.01,25.4,0.0,NaN,NaN,NaN,9.92,39.68,67.06,108.03,158.72,219.13,311.09,619.11,768.21,472.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.35,32.14,39.68,48.01,108.03,89.28,258.02,174.99,289.27,311.09,432.12,432.12,228.56,278.65,406.32,432.12,357.12,268.24,228.56,209.91,209.91,228.56,200.88,219.13,228.56,228.56,228.56,228.56,238.18,278.65,311.09,228.56,166.76,52.48,12.0,2.48,0.0,2.48,12.0,48.01,95.33,128.56,200.88,268.24,406.32,572.98,667.02,472.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.92,114.68,95.33,72.32,77.77,72.32,114.68,128.56,166.76,268.24,381.33,393.73,381.33,393.73,393.73,393.73,381.33,311.09,238.18,219.13,228.56,238.18,209.91,289.27,209.91,200.88,209.91,228.56,228.56,300.08,268.24,209.91,174.99,62.0,39.68,25.4,39.68,16.76,16.76,48.01,101.58,200.88,228.56,472.29,458.7,895.28,716.72,667.02,28.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.44,121.52,166.76,228.56,143.25,183.42,101.58,200.88,135.81,258.02,278.65,369.12,419.12,345.32,381.33,406.32,432.12,393.73,311.09,238.18,219.13,238.18,238.18,228.56,300.08,248.0,219.13,209.91,200.88,219.13,258.02,268.24,258.02,192.05,135.81,83.43,43.75,48.01,35.81,35.81,67.06,121.52,258.02,322.3,486.08,543.22,514.25,486.08,603.53,6.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.01,83.43,128.56,135.81,158.72,150.88,209.91,200.88,238.18,258.02,311.09,381.33,333.71,333.71,432.12,432.12,445.31,369.12,311.09,311.09,278.65,289.27,238.18,300.08,322.3,300.08,238.18,219.13,209.91,219.13,238.18,248.0,258.02,238.18,200.88,289.27,101.58,83.43,52.48,62.0,89.28,150.88,228.56,369.12,572.98,716.72,603.53,445.31,406.32,406.32,12.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0,9.92,43.75,128.56,135.81,108.03,174.99,228.56,158.72,174.99,200.88,238.18,289.27,289.27,333.71,345.32,369.12,369.12,406.32,345.32,357.12,289.27,322.3,311.09,278.65,268.24,278.65,333.71,289.27,238.18,228.56,228.56,238.18,238.18,248.0,258.02,311.09,278.65,219.13,143.25,89.28,83.43,114.68,158.72,248.0,381.33,785.76,895.28,667.02,543.22,333.71,289.27,192.05,25.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.59,19.44,67.06,114.68,150.88,174.99,183.42,200.88,192.05,192.05,278.65,278.65,300.08,228.56,228.56,248.0,311.09,278.65,357.12,393.73,419.12,419.12,369.12,357.12,393.73,381.33,357.12,369.12,345.32,311.09,311.09,357.12,381.33,289.27,258.02,248.0,289.27,219.13,219.13,228.56,278.65,393.73,289.27,192.05,135.81,89.28,121.52,135.81,209.91,289.27,381.33,683.39,667.02,716.72,357.12,345.32,228.56,108.03,174.99,135.81,72.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
