NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.526,0.585,0.624,0.589,0.471,0.357,0.357,0.361,0.676,0.408,0.435,0.4,0.451,0.341,0.585,0.491,0.55,0.624,0.538,0.487,0.494,0.443,0.404,0.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.231,0.164,0.416,0.522,0.55,0.593,0.687,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.557,NaN,0.597,0.494,0.51,0.51,0.451,0.42,0.435,0.471,NaN,0.534,0.577,0.424,0.447,0.522,0.585,0.581,0.613,0.546,0.581,0.565,0.624,0.487,0.42,0.475,0.439,0.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.557,0.502,0.542,0.506,0.613,0.644,0.624,0.845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.522,0.487,0.55,0.518,0.428,0.404,0.408,0.428,0.365,0.408,0.534,0.451,0.361,0.4,0.365,0.585,0.573,0.554,0.561,0.542,0.498,0.565,0.609,0.53,0.526,0.369,0.506,0.471,0.475,0.412,NaN,NaN,NaN,NaN,NaN,0.231,0.538,0.345,0.459,0.475,0.526,0.542,0.632,0.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.341,0.372,0.447,0.349,0.42,0.483,0.376,0.439,0.51,0.463,0.361,0.416,0.447,0.439,0.526,0.534,0.502,0.617,0.498,0.561,0.424,0.498,0.428,0.451,0.605,0.459,0.518,0.471,0.483,0.321,0.514,0.561,0.526,0.459,NaN,NaN,NaN,NaN,0.459,0.699,0.506,0.376,0.487,0.522,0.561,0.557,0.707,0.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.557,0.447,0.487,0.479,0.408,0.392,0.353,0.349,0.522,0.329,0.372,0.4,0.372,0.361,0.471,0.428,0.42,0.408,0.357,0.365,0.345,0.353,0.365,0.353,0.4,0.487,0.471,0.349,0.412,0.42,0.337,0.467,0.447,0.443,0.447,0.235,0.172,0.294,0.463,0.439,0.502,0.471,0.601,0.498,0.593,0.569,0.683,0.861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.412,0.365,0.491,0.223,0.475,0.475,0.439,0.518,0.357,0.361,0.392,0.376,0.372,0.384,0.498,0.51,0.412,0.345,0.337,0.278,0.298,0.349,0.337,0.361,0.471,0.494,0.479,0.455,0.459,0.353,0.309,0.306,0.345,0.506,0.597,0.431,0.471,0.475,0.384,0.372,0.483,0.55,0.581,0.538,0.573,0.668,0.743,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.341,0.372,0.392,0.349,0.278,0.282,0.435,0.341,0.487,0.309,0.4,0.317,0.538,0.317,0.369,0.435,0.435,0.42,0.369,0.439,0.313,0.29,0.27,0.321,0.317,0.412,0.372,0.483,0.302,0.459,0.376,0.341,0.365,0.302,0.447,0.451,0.412,0.408,0.451,0.491,0.431,0.416,0.522,0.463,0.542,0.554,0.581,0.55,0.66,0.743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.337,0.369,0.325,0.313,0.207,0.258,0.278,0.329,0.29,0.309,0.345,0.294,0.361,0.384,0.313,0.384,0.357,0.365,0.353,0.345,0.309,0.29,0.309,0.341,0.388,0.388,0.376,0.467,0.475,0.27,0.431,0.286,0.345,0.333,0.317,0.376,0.384,0.447,0.333,0.589,0.365,0.412,0.431,0.506,0.569,0.514,0.577,0.687,0.424,0.617,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.412,0.384,0.321,0.309,0.298,0.246,0.278,0.227,0.266,0.27,0.286,0.325,0.27,0.302,0.243,0.219,0.317,0.262,0.341,0.345,0.455,0.302,0.29,0.282,0.254,0.306,0.369,0.313,0.282,0.329,0.38,0.223,0.278,0.471,0.55,0.361,0.353,0.443,0.361,0.345,0.475,0.632,0.479,0.4,0.467,0.491,0.483,0.605,0.561,0.593,0.581,0.632,0.557,0.754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.172,0.199,0.258,0.27,0.254,0.262,0.258,0.262,0.246,0.254,0.243,0.227,0.231,0.254,0.246,0.294,0.27,0.337,0.294,0.282,0.345,0.262,0.306,0.262,0.278,0.266,0.235,0.286,0.294,0.286,0.306,0.357,0.357,0.333,0.325,0.309,0.345,0.388,0.471,0.333,0.341,0.483,0.404,0.455,0.467,0.565,0.353,0.408,0.467,0.475,0.569,0.554,0.502,0.613,0.542,0.534,0.554,0.522,0.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
