0.172,0.302,0.128,0.113,0.12,0.191,0.144,0.16,0.172,0.18,0.183,0.183,0.183,0.187,0.187,0.203,0.203,0.231,0.243,0.223,0.246,0.302,0.294,0.306,0.298,0.278,0.262,0.25,0.286,0.27,0.27,0.278,0.266,0.246,0.298,0.329,0.313,0.357,0.349,0.298,0.349,0.345,0.345,0.306,0.313,0.392,0.357,0.345,0.384,0.408,0.475,0.459,0.408,0.357,0.483,0.483,0.412,0.302,0.349,0.483,0.302,0.337,0.431,0.42,0.329,0.294,0.42,0.554,0.329,0.329,0.522,0.459,0.475,0.416,0.306,0.42,0.38,0.369,0.38,0.365,0.471,0.652,0.668,0.526,0.506,0.628,0.577,0.404,0.428,0.365,0.349,0.42,0.42,0.412,0.388,0.467,0.589,0.534,0.514,0.451
0.199,0.219,0.136,0.144,0.132,0.16,0.168,0.16,0.168,0.176,0.172,0.156,0.168,0.18,0.203,0.172,0.203,0.219,0.211,0.219,0.207,0.298,0.325,0.298,0.294,0.27,0.27,0.243,0.243,0.278,0.274,0.298,0.278,0.294,0.29,0.294,0.286,0.29,0.313,0.282,0.321,0.325,0.357,0.325,0.298,0.345,0.353,0.376,0.376,0.38,0.435,0.467,0.459,0.369,0.376,0.471,0.353,0.321,0.435,0.306,0.333,0.388,0.451,0.424,0.372,0.317,0.317,0.38,0.487,0.345,0.4,0.467,0.502,0.396,0.404,0.4,0.38,0.282,0.353,0.329,0.573,0.695,0.617,0.534,0.601,0.557,0.656,0.451,0.431,0.408,0.372,0.384,0.392,0.4,0.384,0.459,0.605,0.522,0.459,0.487
0.266,0.18,0.117,0.128,0.136,0.132,0.132,0.14,0.172,0.156,0.156,0.18,0.199,0.227,0.187,0.191,0.199,0.195,0.219,0.243,0.258,0.302,0.341,0.306,0.274,0.243,0.294,0.286,0.27,0.306,0.302,0.309,0.325,0.309,0.282,0.25,0.243,0.286,0.29,0.235,0.29,0.306,0.309,0.313,0.309,0.282,0.353,0.329,0.306,0.396,0.38,0.408,0.542,0.577,0.349,0.369,0.321,0.341,0.302,0.557,0.617,0.534,0.597,0.561,0.384,0.361,0.361,0.321,0.424,0.361,0.357,0.392,0.601,0.349,0.298,0.392,0.392,0.365,0.317,0.526,0.617,0.636,0.628,0.542,0.554,0.55,0.518,0.467,0.404,0.384,0.451,0.431,0.526,0.392,0.376,0.404,0.561,0.585,0.731,0.648
0.361,0.144,0.168,0.14,0.128,0.124,0.124,0.14,0.14,0.16,0.195,0.18,0.195,0.191,0.168,0.211,0.199,0.215,0.207,0.266,0.286,0.278,0.306,0.298,0.274,0.246,0.239,0.266,0.29,0.258,0.278,0.317,0.306,0.262,0.243,0.278,0.274,0.309,0.286,0.235,0.231,0.333,0.317,0.329,0.302,0.306,0.29,0.302,0.309,0.365,0.325,0.372,0.365,0.467,0.502,0.333,0.333,0.538,0.463,0.522,0.388,0.4,0.376,0.589,0.451,0.396,0.624,0.538,0.597,0.455,0.494,0.384,0.361,0.349,0.4,0.522,0.424,0.4,0.361,0.357,0.62,0.589,0.557,0.494,0.467,0.412,0.506,0.561,0.369,0.388,0.408,0.38,0.392,0.376,0.428,0.365,0.4,0.506,0.577,0.632
0.148,0.144,0.148,0.148,0.144,0.14,0.132,0.16,0.148,0.164,0.172,0.187,0.16,0.144,0.16,0.183,0.219,0.203,0.187,0.243,0.309,0.294,0.317,0.223,0.298,0.243,0.207,0.274,0.266,0.274,0.317,0.294,0.317,0.302,0.278,0.262,0.294,0.333,0.341,0.262,0.258,0.306,0.282,0.258,0.313,0.329,0.325,0.274,0.27,0.306,0.412,0.349,0.412,0.345,0.557,0.55,0.479,0.514,0.491,0.447,0.494,0.483,0.357,0.439,0.483,0.522,0.522,0.494,0.455,0.439,0.408,0.376,0.601,0.321,0.357,0.416,0.412,0.392,0.369,0.274,0.569,0.613,0.443,0.38,0.372,0.38,0.38,0.471,0.388,0.416,0.4,0.365,0.353,0.388,0.38,0.388,0.357,0.447,0.51,0.746
0.117,0.132,0.136,0.128,0.144,0.156,0.18,0.132,0.156,0.191,0.183,0.191,0.164,0.172,0.168,0.16,0.187,0.203,0.207,0.227,0.306,0.258,0.274,0.258,0.333,0.258,0.258,0.298,0.246,0.235,0.282,0.298,0.29,0.282,0.25,0.282,0.286,0.278,0.274,0.262,0.235,0.235,0.254,0.27,0.282,0.266,0.325,0.317,0.278,0.309,0.349,0.353,0.475,0.51,0.463,0.546,0.589,0.506,0.506,0.459,0.345,0.408,0.376,0.38,0.321,0.349,0.396,0.428,0.431,0.42,0.542,0.577,0.62,0.51,0.38,0.361,0.353,0.345,0.365,0.365,0.522,0.565,0.424,0.38,0.353,0.392,0.376,0.42,0.42,0.357,0.333,0.357,0.361,0.514,0.412,0.396,0.372,0.412,0.459,0.609
0.117,0.117,0.12,0.128,0.128,0.109,0.132,0.215,0.187,0.16,0.16,0.207,0.168,0.164,0.172,0.18,0.199,0.211,0.211,0.29,0.278,0.219,0.195,0.246,0.246,0.313,0.298,0.286,0.254,0.27,0.286,0.298,0.274,0.309,0.298,0.298,0.27,0.278,0.278,0.266,0.235,0.215,0.278,0.302,0.266,0.266,0.246,0.306,0.302,0.302,0.329,0.349,0.337,0.483,0.353,0.404,0.526,0.506,0.577,0.534,0.329,0.313,0.392,0.384,0.365,0.396,0.321,0.565,0.656,0.617,0.62,0.64,0.62,0.581,0.483,0.443,0.345,0.349,0.278,0.388,0.624,0.491,0.349,0.333,0.361,0.361,0.404,0.365,0.479,0.459,0.29,0.329,0.435,0.459,0.483,0.463,0.498,0.451,0.479,0.55
0.132,0.136,0.136,0.136,0.124,0.136,0.156,0.132,0.18,0.168,0.191,0.211,0.191,0.199,0.16,0.152,0.164,0.203,0.235,0.243,0.223,0.239,0.223,0.258,0.286,0.309,0.282,0.254,0.266,0.294,0.258,0.266,0.274,0.29,0.29,0.258,0.412,0.451,0.278,0.223,0.239,0.219,0.239,0.294,0.298,0.266,0.235,0.266,0.29,0.306,0.282,0.313,0.357,0.4,0.4,0.498,0.428,0.42,0.581,0.593,0.601,0.455,0.349,0.455,0.329,0.361,0.672,0.597,0.62,0.624,0.628,0.628,0.589,0.652,0.498,0.369,0.589,0.463,0.333,0.317,0.644,0.4,0.341,0.313,0.376,0.321,0.372,0.412,0.431,0.361,0.317,0.329,0.38,0.345,0.494,0.471,0.479,0.443,0.443,0.656
0.12,0.124,0.152,0.144,0.18,0.223,0.132,0.223,0.172,0.18,0.219,0.219,0.215,0.227,0.156,0.16,0.148,0.176,0.239,0.203,0.219,0.219,0.254,0.235,0.282,0.309,0.254,0.254,0.278,0.282,0.246,0.227,0.298,0.258,0.282,0.286,0.424,0.412,0.337,0.243,0.246,0.207,0.243,0.227,0.274,0.246,0.266,0.266,0.396,0.298,0.262,0.274,0.447,0.349,0.317,0.369,0.341,0.53,0.522,0.581,0.557,0.569,0.581,0.605,0.605,0.656,0.593,0.581,0.554,0.656,0.664,0.664,0.624,0.664,0.546,0.546,0.613,0.42,0.353,0.439,0.632,0.412,0.376,0.365,0.388,0.388,0.404,0.38,0.396,0.388,0.361,0.317,0.365,0.372,0.463,0.467,0.502,0.396,0.451,0.711
0.128,0.128,0.164,0.18,0.191,0.14,0.191,0.266,0.191,0.176,0.199,0.235,0.227,0.211,0.207,0.215,0.211,0.215,0.219,0.164,0.223,0.235,0.243,0.223,0.298,0.309,0.29,0.246,0.231,0.239,0.246,0.266,0.286,0.298,0.321,0.4,0.428,0.42,0.439,0.286,0.262,0.227,0.239,0.278,0.258,0.266,0.258,0.294,0.313,0.313,0.282,0.278,0.258,0.235,0.29,0.365,0.361,0.365,0.471,0.455,0.569,0.628,0.589,0.581,0.538,0.55,0.632,0.601,0.573,0.581,0.68,0.75,0.754,0.632,0.66,0.514,0.471,0.522,0.404,0.656,0.601,0.459,0.424,0.467,0.656,0.581,0.66,0.412,0.4,0.487,0.369,0.392,0.341,0.349,0.471,0.557,0.561,0.447,0.471,0.593
0.109,0.148,0.156,0.199,0.235,0.191,0.203,0.18,0.172,0.199,0.227,0.215,0.203,0.239,0.223,0.211,0.243,0.231,0.235,0.176,0.215,0.231,0.243,0.25,0.282,0.286,0.29,0.211,0.302,0.274,0.27,0.258,0.274,0.317,0.29,0.345,0.404,0.392,0.431,0.325,0.278,0.317,0.258,0.27,0.254,0.262,0.243,0.333,0.313,0.27,0.302,0.258,0.25,0.266,0.325,0.357,0.372,0.502,0.325,0.424,0.428,0.601,0.565,0.53,0.569,0.565,0.557,0.557,0.597,0.546,0.605,0.648,0.727,0.534,0.408,0.491,0.353,0.376,0.514,0.652,0.518,0.491,0.699,0.668,0.644,0.644,0.617,0.624,0.514,0.4,0.353,0.376,0.372,0.51,0.514,0.514,0.435,0.546,0.4,0.538
0.136,0.124,0.199,0.199,0.187,0.215,0.191,0.172,0.183,0.223,0.223,0.227,0.176,0.199,0.239,0.199,0.246,0.239,0.176,0.195,0.187,0.211,0.207,0.282,0.215,0.195,0.215,0.215,0.286,0.278,0.302,0.274,0.27,0.29,0.286,0.333,0.388,0.372,0.428,0.369,0.317,0.274,0.258,0.223,0.254,0.278,0.282,0.325,0.278,0.302,0.278,0.219,0.231,0.231,0.246,0.302,0.306,0.38,0.483,0.506,0.376,0.408,0.53,0.522,0.522,0.577,0.561,0.605,0.518,0.589,0.601,0.64,0.746,0.577,0.62,0.624,0.353,0.365,0.302,0.483,0.502,0.644,0.664,0.656,0.668,0.644,0.491,0.55,0.451,0.546,0.317,0.408,0.451,0.455,0.4,0.483,0.4,0.475,0.42,0.424
0.172,0.18,0.227,0.227,0.203,0.164,0.164,0.176,0.199,0.227,0.227,0.211,0.231,0.183,0.195,0.243,0.235,0.211,0.274,0.183,0.168,0.172,0.172,0.246,0.183,0.207,0.207,0.223,0.215,0.302,0.286,0.302,0.29,0.333,0.333,0.329,0.345,0.388,0.435,0.337,0.412,0.286,0.25,0.274,0.274,0.329,0.369,0.317,0.278,0.286,0.266,0.286,0.199,0.215,0.231,0.27,0.266,0.345,0.455,0.4,0.376,0.412,0.27,0.404,0.554,0.565,0.569,0.577,0.502,0.538,0.569,0.542,0.534,0.699,0.687,0.703,0.672,0.345,0.376,0.64,0.573,0.632,0.64,0.668,0.624,0.573,0.51,0.4,0.569,0.554,0.652,0.479,0.428,0.451,0.483,0.557,0.593,0.554,0.565,0.55
0.124,0.176,0.183,0.168,0.168,0.148,0.172,0.176,0.183,0.215,0.207,0.211,0.215,0.187,0.191,0.266,0.239,0.164,0.18,0.18,0.168,0.191,0.25,0.227,0.258,0.262,0.266,0.199,0.235,0.278,0.258,0.246,0.294,0.29,0.294,0.317,0.321,0.372,0.42,0.309,0.246,0.278,0.262,0.25,0.246,0.262,0.329,0.294,0.274,0.258,0.246,0.207,0.215,0.231,0.227,0.282,0.282,0.333,0.321,0.463,0.42,0.321,0.55,0.337,0.53,0.554,0.561,0.518,0.546,0.522,0.557,0.522,0.435,0.506,0.632,0.617,0.561,0.609,0.384,0.546,0.648,0.597,0.589,0.605,0.554,0.585,0.471,0.424,0.506,0.526,0.467,0.546,0.593,0.443,0.554,0.53,0.573,0.597,0.557,0.518
0.191,0.195,0.16,0.18,0.156,0.164,0.14,0.176,0.176,0.203,0.203,0.239,0.191,0.187,0.313,0.365,0.29,0.239,0.211,0.18,0.195,0.231,0.227,0.219,0.227,0.274,0.243,0.266,0.227,0.223,0.219,0.29,0.302,0.286,0.294,0.29,0.27,0.353,0.321,0.337,0.282,0.254,0.246,0.246,0.246,0.306,0.361,0.298,0.286,0.262,0.25,0.219,0.227,0.258,0.219,0.29,0.294,0.333,0.361,0.369,0.369,0.321,0.408,0.266,0.502,0.502,0.534,0.506,0.554,0.557,0.569,0.463,0.384,0.384,0.491,0.502,0.538,0.518,0.431,0.431,0.664,0.581,0.573,0.546,0.542,0.443,0.471,0.416,0.4,0.451,0.435,0.475,0.585,0.518,0.55,0.542,0.479,0.506,0.518,0.557
0.16,0.136,0.124,0.132,0.148,0.152,0.176,0.164,0.187,0.211,0.195,0.239,0.388,0.337,0.294,0.475,0.266,0.27,0.219,0.223,0.203,0.258,0.211,0.191,0.231,0.278,0.231,0.278,0.27,0.258,0.215,0.266,0.29,0.333,0.29,0.333,0.29,0.372,0.349,0.306,0.341,0.266,0.254,0.337,0.404,0.396,0.396,0.337,0.262,0.325,0.282,0.266,0.219,0.235,0.231,0.302,0.29,0.313,0.317,0.29,0.388,0.424,0.459,0.435,0.53,0.518,0.487,0.534,0.546,0.522,0.439,0.439,0.475,0.392,0.554,0.542,0.522,0.491,0.597,0.597,0.601,0.597,0.585,0.581,0.443,0.345,0.384,0.388,0.443,0.396,0.38,0.357,0.38,0.546,0.597,0.589,0.502,0.439,0.498,0.494
